Title,"Include?
[1/0]",Year,Citation Reference,"Assigned to
[Dan, Ezz, Maddi, Sanyam, Shae, Vas]",Citations 2025,Citations Per Year Sept 2025,Venue,"URL
(optional)","DOI
(optional)","Input
[source_code, binary_code, binary_executable]","Input granularity [line, snippet, function, slice/gadget, commit, repo/project, executable]","Classification Granularity
[line, snippet, function, slice/gadget, commit, repo/project, executable]","Granularity justification (optional, if any)","Input (graph) representation
[intermediate_code, AST, CFG, DFG, CPG, PDG]","Input Vectorization
[NA, hash, manual_features, pretrained_token_embedding, pretrained_sentence_embedding, learnable_token_embedding, node_embedding, ..]","Tools Used
(as part of solution e.g., preprocessing)
[joern, word2vec, GPT-4, ...]","Task
[binary, binary-CWE, multi-class, exploit]","Task justification (optional, if any)",Mention explainability or interpretability,"Explainability
[0/1]","Vulnerability Types Targeted
[general / specific(e.g., CWE-XXX, XSS, SQLI, memory)]","Vulnerability Types in Datasets
[NA, general, CWE-XXX, XSS, SQLI, memory)]","Test Dataset Type
[create_own_from_scratch, subset_existing (e.g., NVD, SARD), benchmark]","Test Dataset
[NA, Juliet (SATE IV), NVD, SARD, Devign (aka. FFMpeg+ Qemu), Reveal (aka. Chromium+Debian), Big-Vul (aka. Fan et. al.), CodeXGLUE, Draper (Russel et. al.), CVEFixes, D2A, DiverseVul, ...]","Dataset justification (optional, if any)","Dataset Practicality
[Synthetic, real-world, both]","Programming Language
[NA, C/C++, Java, Python, PHP, JavaScript, any (binary, or assembly)]",Mention duplicate in dataset, Mention dataset quality, Mention dataset noise,Mention dataset split, Mention dataset balance,"Programming language justification 
(optional, if any)","ML?
[0/1]","LLM?
[0/1]","Basic Approach
[static, dynamic, both]","Approach
[fuzzing, manual_features, symbolic_execution, taint_analysis, signature, code_similarity, ML_preNN, MLP, CNN, RNN (including GRU, LSTM, BRNN, BGRU, BLSTM), Transformer, GNN, PretrainedLLM, FinetuneLLM, Pretrain+FinetuneLLM]","Specific Approach
[GCN, GAT, RGCN, GGNN, LSTM, BLSTM, BGRU, GRU, BRNN, PretrainedLLM, FinetuneLLM, Pretrain+FinetuneLLM]","Approach justification (optional, if any)",Discuss metrics,"Evaluation Metrics
[F1, Acc, ROCAUC,  PRAUC, Precision, Recall, TopN-Acc]","Metrics justification (optional, if any)",Discuss ablation,Discuss overfitting,"Best Results
(should be readable as python dict)
{""dataset"":{""metric"":value, ""metric"":value}}","repo
(code or data)
[url]","Open-sourced Code
[NA, 0, 1]","Open-sourced Dataset
[NA, 0, 1]",Summary,,,,
Prompt-Enhanced Software Vulnerability Detection Using ChatGPT,1,2024,zhang2024prompt,Ezz,90,53.89221557,IEEE/ACM International Conference on Software Engineering ,https://dl.acm.org/doi/10.1145/3639478.3643065,10.1145/3639478.3643065,source_code,function,function,,"AST, DFG",pretrained_token_embedding,,binary,,0,0,general,50 types,"subset_existing, benchmark","SySeVR, SARD",,both,"C/C++, java",0,0,0,0,0,,1,1,static,PretrainedLLM,PretrainedLLM,,1,"Acc, Precision, Recall, F1","We use Accuracy (Acc), Precision (P), Recall (R) and F1 score (F1), which are commonly used to evaluate vulnerability detection methods, to measure the performance of ChatGPT.
",0,0,"{""Java"": {""Acc"":74.7}, ""sysevr"":{""Acc"":74.1}}",https://github.com/KDEGroup/LLMVulnerabilityDetection,NA,1,"They conduct some experiments with ChatGPT (without mentioning which version!!), by experimenting with different prompts. They tested (1) besic prompt, (2)  role-play, (3) prompting with auxuilliary information (e.g., dataflow or API calls, and (4) chain-pf-though multi-step prompting by first asking the LLM to explain the code. They evaluated on SySeVR dataset for C/C++ and some Java programs from SARD. ",,,,
RAT: Reinforcement-Learning-Driven and Adaptive Testing for Vulnerability Discovery in Web Application Firewalls,0,2022,amouei2021rat,Sanyam,29,7.901907357,IEEE Transactions on Dependable and Secure Computing,,10.1109/TDSC.2021.3095417,NA,,,,source_code,NA,NA,,,,,NA,NA,,NA ,,,NA,,,,,,,NA,NA,,NA,,,,NA,,,,,,NA,NA,NA,,,,
Recurrent Semantic Learning-Driven Fast Binary Vulnerability Detection in Healthcare Cyber Physical Systems,1,2023,yi2022recurrent_binary,Ezz,31,11.61048689,IEEE Transactions on Network Science and Engineering,https://ieeexplore.ieee.org/document/9861750,10.1109/TNSE.2022.3199990,"binary_code, binary_executable",project,function,,,pretrained_token_embedding,,multi-class,,0,0,general,"CWE-121, CWE-122, CWE-123. CWE-124, CWE-126, CWE-415, CWE-680",subset_existing,NIST,,real-world,"any (C++, Python, Java - using a mix, Binary)",0,1,0,0,0,,1,0,both,RNN,C-LSTM,,1,"Acc, Precision, Recall",,0,1,"{""null"":{""acc"":90, ""precision"":88, ""recall"":87}}",,0,0,"The paper proposes IntVD, a method combining static and dynamic analysis to detect vulnerabilities in HCPS software. Programs from different programming languages are used and their representation is used. A C-LSTM model is used to encode the instruction embedding and instruction dependency.",,,,
ReDeBug: Finding Unpatched Code Clones in Entire OS Distributions,0,2012,redebug_2012,Ezz,323,23.62838332,IEEE Symposium on Security and Privacy,https://ieeexplore.ieee.org/document/6234404,10.1109/SP.2012.13,source_code,,"file, function",,,hash,,binary,,,0,general,general,create_own_from_scratch,ReDeBug,,real-world,C/C++,,,,,,,0,0,static,"signature, code_similarity",,,,"Precision, Recall",,,,"{""null"":{""Precision"":100, ""Recall"": 92.3}}",https://github.com/dbrumley/redebug,1,0,"Similar to VUDDY, ReDeBug is a code clone detection algorithms that can be applied to vulnerability detection. Unlike VUDDY, it could be applied to any programming language. The main motivation behind ReDeBug is to reduce the false negative, hence the authors admit that it can miss some vulnerabilities. The detection is done by computing a code similarity metric based on  the intersection over union (IoU) or the jaccard index of the utilized tokens in the code. We compare a sliding window over the target software with known vulnerable code from commits containing security patched.",,,,
ReGVD: Revisiting Graph Neural Networks for Vulnerability Detection,1,2022,regvd_2022,Ezz,158,43.05177112,IEEE/ACM International Conference on Software Engineering,https://dl.acm.org/doi/10.1145/3510454.3516865,10.1145/3510454.3516865,source_code,function,function,,,"pretrained_token_embedding, node_embedding",,binary,,0,0,general,general,benchmark,CodeXGLUE,,real-world,C/C++,0,0,0,0,0,,1,0,static,GNN,Residual-GNN,,1,Acc,,0,0,"{""codeXGLUE"":{""Acc"":63.7}}",https://github.com/daiquocnguyen/GNN-ReGVD,1,NA,,,,,
S3: A Symbolic String Solver for Vulnerability Detection in Web Applications,0,2014,trinh2014s3,Dan,182,15.59554413,Conference on Computer and Communications Security,https://doi.org/10.1145/2660267.2660372,10.1145/2660267.2660372,source_code,,snippet,,,NA,Z3 SMT solver,exploit,,,1,"SQL injection, XSS",NA,benchmark,Kaluza,,synthetic,"JavaScript, PHP",,,,,,,0,0,static,symbolic_execution,,,,num_detected,,,,{},,0,1,"S3: Symbolic String Solver, symbolic execution aimed at capturing string operations. Constraint solvers, such as Z3 can then be used to determine what class of strings satisfies the constraints of a code path (if any).",,,,
SCALE: Constructing Structured Natural Language Comment trees for software vulnerAbiLity dEtection,1,2024,wen2024scale,Ezz,16,9.580838323,arxiv,,,source_code,function,function,,AST,pretrained_token_embedding,Tree-sitter,binary,,1,0,general,general,benchmark,"Devign, Reveal, SvulD",they are widely used,real-world,C/C++,0,0,0,1,0,"None, they just say future work can extend to other languages",1,0,static,"not_clear (they menation a ""classifier"" based on attantion scores)",not_clear,,1,"Acc, Recall, Precision, f1","""Following the previous work [18, 20, 65], we choose the following four metrics""",0,0,"{""devign"":{""acc"":66.2, ""precision"":61.9, ""recall"":68.7, ""f1"":65.1},""reveal"":{""acc"":90, ""precision"":52.3, ""recall"":78.7, ""f1"":62.9}, ""svuld"":{""acc"":87.6, ""precision"":22.6, ""recall"": 57, ""f1"": 32.3}}",github.com/ Xin-Cheng-Wen/ Comment4Vul,1,NA,"Their proposed approach comprises three steps. First, an LLM is used to create comments which are then added as extra nodes in the AST. Second,explicitly involving code execution sequences using code sytax templates. Third, an enhanced representation using the structured comment trees (SCTs). Scale can be applied to pretrained models such as CodeBERT and UniXCoder to make extra performance gains. Their motvation is (1) pretrained mdoels fail to infer the sematics of compelx code, and (2) pretrained models fail to capture code execution sequences",,,,
SCL-CVD: Supervised contrastive learning for code vulnerability detection via GraphCodeBERT,1,2024,wang2024sclcvd,Ezz,15,8.982035928,Computers & Security,,,source_code,function,function,,"AST, DFG",pretrained_token_embedding,tree-sitter,binary,,1,0,general,general,benchmark,"Devign, Reveal, Big-Vul, combined(devign+reveal+bigvul)",hey have real-world samples,real-world,C/C++,0,1,1,1,0,None,1,1,static,FinetuneLLM,FinetuneLLM,,1,"Acc, Precision, Recall, F1","guess what, they are widely used",1,1,"{""Devign"":{""acc"": 63.6, ""precision"": 60.6, ""recall"": 64.8, ""f1"": 62.6}, ""reveal"":{""acc"": 91.4 , ""precision"": 46.7, ""recall"": 47.5, ""f1"": 47.1}, ""big-vul"":{""acc"": 95.8, ""precision"": 62.3, ""recall"": 35.3, ""f1"": 45}}",https://github.com/AI4CVD/SCL4CVD,1,1,"They argue that using CE loss to train AVD solution does not generalize. That is why they use contrastive loss instread, combined with R-drop and LoRA. They use this on the GraphCodeBERT language model. They use R-drop to reduce the effect of randomness introduced by dropout, by feeding each sample twice and minimizing the difference in the resulting two outputs.",,,,
Search-Driven String Constraint Solving for Vulnerability Detection,0,2017,thome2017string_constraint,Shae,55,6.343713956,IEEE/ACM International Conference on Software Engineering,,10.1109/ICSE.2017.26,,,,,,NA,"CVC4, Z3-str3",,,,0,XSS,XSS,create_own_from_scratch,"WebGoat, Roller, Pebble, Regain, PSH, RAP, TPC-APP, TPC-C, TPC-W",,both,"String (Java, C)",,,,,,,0,0,static,CSP,,,,"tp, tn, fp, pn",,,,,,,NA,I do not believe that is paper is relevant to our SoK as it is a string constraint solving paper which uses XSS as a case study. This approach proposes using search-driven string constraint solving based on Ant Colony Optimization  to complement existing SOTA string constraint solver as a fallback mechanism.,,,,
Security Vulnerability Detection Using Deep Learning Natural Language Processing,1,2021,ziems2021security_nlp,Sanyam,90,19.27194861,IEEE Conference on Computer Communications Workshops,https://ieeexplore.ieee.org/document/9484500,10.1109/INFOCOMWKSHPS51825.2021.9484500,source_code,function,function,,,,word2vec,binary,,1,0,general,general,subset_existing,"NVD, SARD",,real-world,C/C++,0,0,0,0,0,,1,1,static,"Transformer/BERT, FinetuneLLM",FinetuneLLM,,1,Acc,,0,1,"{""BERT+LSTM"":{""Acc"":93.19},""BERT+BiLSTM"":{""Acc"":93.49}}",,0,0,,,,,
Security vulnerability detection with multitask self-instructed fine-tuning of large language models,1,2024,yang2024security,Shae,17,10.17964072,arxiv,,,source_code,snippet,snippet,,CFG,pretrained_token_embedding,DeepDFA,binary,they leave binary CWE and explainations to future work.,1,0,general ,general,"create_own_from_scratch, benchmark","BigVul, PreciseBugs",PreciseBugs justification is to isolate the performance of the approach without the potential for LLM data leakage by collecting data from after the models last update.,both,C/C++,0,0,0,1,0,"as commonly used in prior work, the precise bug dataset has multiple languages however multitask training across multilangugage reduces performance so they filter to just C/C++",1,1,static,FinetuneLLM,FinetuneLLM,,1,"F1, Precision, Recall",Use same metrics as prior work for fair comparison,1,1,"{""BigVul"":{""f1"":92,""precision"":93,""recall"":91}, ""PreciseBugs"":{""f1"":48, ""precision"":40, ""recall"": 57}}",https://zenodo.org/records/11403208,1,1,This paper leverages LLM finetuning and chain of thought reasoning to perform vulnerability detection. The final detection model combines the transformer and a GNN that are trained simultaneously. The LLM + GNN composition seems to greatly improve performance not only for their proposed approaches but also for the baselines (CodeT5 and DeepDFA).,,,,
SedSVD: Statement-level software vulnerability detection based on Relational Graph Convolutional Network with subgraph embedding,1,2023,dong2023sedsvd,Ezz,19,7.116104869,Information and Software Technology,https://dl.acm.org/doi/abs/10.1016/j.infsof.2023.107168,10.1016/j.infsof.2023.107168,source_code,function,line,,CPG,"pretrained_token_embedding, node_embedding","word2vec, joern",binary,,1,1,general,general,subset_existing,"NVD, SARD",,both,C/C++,0,0,0,0,0,"Joern; First, since our model mainly aims at C/C++ programs, the detection results may be limited. But since the model we design does not rely on program language, it is expandable and scalable",1,0,static,GNN,RGCN,,1,"Acc, F1, FPR, FNR","we choose the following metrics which are widely
used",0,1,"{""null"":{""acc"":91.7, ""f1"":95.1, ""fpr"":3, ""fnr"":8.9}}",,0,0,"This paper proposes SedSVD, a line-leve/statement-level C/C++ vulnerability detector based GNNs. The method utilizes the code property graph, and selects several center nodes (code elements) that are more related to vulnerabilities (based on heiristics and observing CPG) to build their subgraphs (graphs of this node and its neighbours). The node embedding is generated using wod2vec, and averaging over all words in a node. Then, the graph is used in a relation GCN (RGCN) to process diffeent edges differently. Fianll, an MLP is added for prediction. The classification is done on the node level in the subgraph.",,,,
Software Vulnerability Detection using Large Language Models,0,2023,purba2023software_llm_empirical,Dan,107,40.07490637,IEEE International Symposium on Software Reliability Engineering Workshops,https://doi.org/10.1109/ISSREW60843.2023.00058,10.1109/ISSREW60843.2023.00058,source_code,,slice/gadget,,,NA,Davinci,binary,,,1,"overflow, SQLI","memory (CWE-399), overflow (CWE-119), SQLI","subset_existing, benchmark","vuldeepecker, CVEfixes",,both,"C/C++, Go, others",,,,,,,1,1,static,PretrainedLLM,PretrainedLLM,,,"F1, Precision, Recall, FPR, FNR",,,,"{""null"":{}}",,0,1,"Invited paper, an empirical study of LLMs (some with fine-tuning) vs static analysis and VulDeePecker.",,,,
Software vulnerability detection via deep learning over disaggregated code graph representation,1,2021,zhuang2021software_disagg,Sanyam,35,7.494646681,Arxiv,https://arxiv.org/abs/2109.03341,,source_code,function,function,,"AST, DFG,CFG",node_embedding,Transformer,binary,,1,0,general,general,benchmark,"Draper, devign",,real-world,C/C++,0,1,1,0,0,the Joern graph extractor we use is limited to C/C++,1,0,static,GNN,CGCN,,1,"F1, MCC, Acc",,0,1,"{""draper"": {""Acc"": 93.26, ""F1"": 54.32, ""MCC"": 51.2}, ""devign"":{""Acc"": 61.03, ""F1"": 61.83, ""MCC"": 25.2}
}
",,0,NA,,,,,
Software Vulnerability Detection with GPT and In-Context Learning,1,2023,liu2023software,Shae,19,7.116104869, International Conference on Data Science in Cyberspace,,,source_code,function,function,,None,GPT-3.5-Turbo's vectorization,BM 25 (Best match 25) and TF (term frequency) for retrieval of similar code.,binary,,0,0,general,general/what is in Devign,benchmark,Devign,Because it is widely used and provides source code,real-world,C/C++,0,1,0,0,0,they say Devign includes java and other languages but i thought it was only C/C++,1,1,static,PretrainedLLM (GPT-3.5-Turbo),PretrainedLLM,,1,"Acc, F1, Precision, Recall",Because they are the commonly used vulnerability detection metrics.,1,0,"{""devign"":{""acc"":49.82, ""precision"": 46.47, ""recall"":72.92, ""f1"":56.45}}",,0,1,"This paper presents VUL-GPT, which is an approach that uses in context learning to detect vulnerabilities. The approach provides GPT with similar code with their label to give it context before answering the final question. It is evaluated on devign dataset. Accuracy and precision is basically similar to baseline with only improved recall. ",,,,
Software Vulnerability Discovery via Learning Multi-Domain Knowledge Bases,1,2021,lin2019software,Ezz,142,30.40685225,IEEE Transactions on Dependable and Secure Computing,https://ieeexplore.ieee.org/abstract/document/8906156,10.1109/TDSC.2019.2954088,source_code,function,function,"These function-level vulnerability data allows us to build classifiers for function-level vulnerability detection, thus providing a more fine-grained detection capability than that can be achieved at the file- or component-level.  (conflation of input and output granularities) 
",AST,learnable_token_embedding,CodeSensor,binary,,1,0,general,general,subset_existing,"NVD, SARD, CVE",,both,C/C++,0,1,0,0,0,,1,0,static,RNN,BLSTM,,0,"P@K, R@K",retrieval metrics,0,1,"{""null"":{""null"":0}}",https://github.com/DanielLin1986/RepresentationsLearningFromMulti_domain,1,1,,,,,
Static Detection of Control-Flow-Related Vulnerabilities Using Graph Embedding,1,2019,cheng2019static,Ezz,71,10.64467766,International Conference on Engineering of Complex Computer Systems,https://ieeexplore.ieee.org/document/8882745,10.1109/ICECCS.2019.00012,source_code,function,function,,"AST, CFG","pretrained_document_embedding, node_embedding","doc2vec, ANTLR4, tscancode",binary,,1,0,specific,"control-flow_related, CWE-691, CWE-840, CWE-438",subset_existing,SARD,"It is widely used to evaluate the performance of vulnerability detection approaches in our community (e.g. [11] [22] [10].)
",both,C/C++,0,0,0,1,0," Second, our experiments focus on dealing with vulnerabilities that happen in C/C++ programs. However, it is easy to extend our framework to support other programming languages, e.g., Java and Python",1,0,static,GNN,GCN,,1,"Acc, Recall, F1, FPR, FNR, ROCAUC","We have applied six widely used metrics including accuracy (ACC), false positive rate (FPR), false negative rate (FNR), true positive rate (TPR), F1-measure (F1) and AUC to evaluate the performance of vulnerability detection [25].

According to previous research, AUC and F1-measure has been proved as a better and more statistically consistent criterion than the accuracy [23], especially for imbalanced data.

",0,0,"{""icfmds"":{""acc"":91.8, ""f1"":76.6, ""recall"":84.6, ""ROCAUC"":95.5}, ""bleds"":{""acc"":92.6, ""recall"":89.4, ""f1"":79.1, ""ROCAUC"": 97.7}, ""bhpds"": {""acc"":92.9, ""recall"":89.9, ""f1"":79.2, ""ROCAUC"":97.5}}",,0,0,"The paper specifically focuses on control flow related vulnerabilities, using a GNN approach called VGDetector. They get their data from a real-world sample of SARD. First a CFG is constructed and the embedding is formed using doc2vec (aftern normalization of variable and function names), and then the input is fed to a GCN.",,,,
Static detection of cross-site scripting vulnerabilities,0,2008,wassermann2008static_xss,Dan,581,32.88058857,IEEE/ACM International Conference on Software Engineering,https://dl.acm.org/doi/pdf/10.1145/1368088.1368112,10.1145/1368088.1368112,source_code,,file,,,NA,,binary,,,1,XSS,XSS,create_own_from_scratch,"GecBBLite, VLBook, Sendcard, Drupal, LinPHA, Sugar Suite, BASE, FishCart, PHPlist, PHProjekt",,real-world,PHP,,,,,,,0,0,static,taint_analysis,,,,"num_detected, FP, TP",,,,"{""Claroline1.5.3"":{""GET,POST,orCOOKIEvariables"":{""TP"":32,""FP"":43},""uninitialized"":{""TP"":38,""FP"":25},""indirect"":{""num_reported"":42}},""FishCart3.1"":{""GET,POST,orCOOKIEvariables"":{""TP"":2,""FP"":2},""uninitialized"":{""TP"":30,""FP"":12},""indirect"":{""num_reported"":2}},""GecBBLite0.1"":{""GET,POST,orCOOKIEvariables"":{""TP"":1,""FP"":1},""uninitialized"":{""TP"":0,""FP"":0},""indirect"":{""num_reported"":7}},""PhPetition0.3.1b"":{""GET,POST,orCOOKIEvariables"":{""TP"":0,""FP"":0},""uninitialized"":{""TP"":7,""FP"":8},""indirect"":{""num_reported"":7}},""PhPoll0.96beta"":{""GET,POST,orCOOKIEvariables"":{""TP"":5,""FP"":6},""uninitialized"":{""TP"":0,""FP"":0},""indirect"":{""num_reported"":0}},""WarpCMS1.2.1"":{""GET,POST,orCOOKIEvariables"":{""TP"":1,""FP"":1},""uninitialized"":{""TP"":22,""FP"":19},""indirect"":{""num_reported"":18}},}",,0,0,"Formally expresses taint in PHP as a context free grammar which then checked against regex rules that represent potential injection points for XSS (e.g., event handlers in HTML).",,,,
Static Detection of DoS Vulnerabilities in Programs that use Regular Expressions (Extended Version),0,2017,wustholz2017dos_regex,Dan,76,8.765859285,Tools and Algorithms for the Construction and Analysis of Systems,https://arxiv.org/pdf/1701.04045,10.1007/978-3-662-54580-5_1,source_code,,snippet,,,NA,,exploit,,,0,regex DOS,regex DOS,create_own_from_scratch,Github,,real-world,Java,,,,,,,0,0,both,algorithm,,,,"num_detected, FPR",,,,"{""github"": {""num_detected"": 45, ""FPR"": 11}}",,0,0,Statically detects (with dynamic verification) if Regex present in an aplication can be used for DoS using specially crafted strings. It works in two steps (1) regex analysis using an expert algorithm to identify if vulnerable regex is present and generate inputs + dynamic analysis to ensure the actual regex engine is DoSed by input (2) taint analysis to check if potentially malicious input can be provided to the vulnerable regex.,,,,
Static Detection of Vulnerabilities in x86 Executables,0,2006,cova2006static_x86,Dan,142,7.219115404,Annual Computer Security Applications Conference,https://ieeexplore.ieee.org/document/4041173,10.1109/ACSAC.2006.50,binary_code,,executable,,,NA,Parma Polyhedra,binary,,,0,general,general,create_own_from_scratch,NA,,real-world,any (C -> assembly -> binary),,,,,,,0,0,static,"taint_analysis, symbolic_execution",,,,num_detected,,,,"{""nul"":{}}",,0,0,Early practical work on using static analysis on binary files. Uses symbolic execution to identify potential uses of tainted sources in sensitive contexts. Implementation introduces some heuristics to make static analysis tractable.,,,,
SySeVR: A Framework for Using Deep Learning to Detect Software Vulnerabilities,1,2018,sysevr_2022,Ezz,868,113.1681877,IEEE Transactions on Dependable and Secure Computing,https://www.computer.org/csdl/journal/tq/2022/04/09321538/1qmbsFHMoxi,10.1109/TDSC.2021.3051525,source_code,project,slice/gadget,"one may suggest treating each function in a program as a region proposal in image processing. However, this is too coarse-grained because vulnerability detectors not only need to tell whether a function is vulnerable or not, but also need to pin down locations of vulnerabilities. That is, we need fine-grained representations of programs for vulnerability
detection. One may also suggest treating each line of code or statement (i.e., these two terms will be used interchangeably) as a unit for vulnerability detection. However, this treatment has two drawbacks: (i) most statements in a program do not contain any vulnerability, meaning that few samples are vulnerable; and (ii) multiple statements that are semantically
related to each other are not considered as a whole. ----------we detect vulnerabilities at the slice level (i.e., multiple lines of code that are semantically related to each other), which could be improved to more precisely pin down the line of code that contains a vulnerability.","AST, CFG",pretrained_token_embedding,,binary,,0,0,general,126 types,subset_existing,"NVD, SARD, sysevr",,both,C/C++,0,0,0,0,0,"we focus on detecting vulnerabilities in C/C++ program source code,
meaning that the framework may need to be adapted to cope with other programming languages and/or executables.",1,0,static,RNN,BGRU,,1,"Acc, Precision, F1, MCC",The effectiveness of vulnerability detectors can be evaluated by the following widely-used metrics,0,0,"{""sysevr"":{""Acc"": 98, ""Precision"": 90.8, ""F1"": 92.6, ""MCC"":90.5}}",https://github.com/SySeVR/SySeVR,1,1,"SySeVR}is a function-level RNN-based C/C++ vulnerability detector proposed in 2018. SySeVR stands for Syntax-based, Semantics-based, and Vector Representations and focuses on obtaining program representations that includes vulnerability related syntax and semantic information. This information is encapsulated in so-called syntax-based and semantics-based vulnerability candidates (i.e., SyVCs and SeVCs), which are elements of the code that match certain vulnerability characteritcs, as extracted from the AST and CFG of the software. The input is then vectorized using the word2vec tool and fed into a BGRU classifier. SySeVR was shown to have wider applicability than VulDeePecker in terms of vulnerability types, and outperform it w.r.t. a variety of evaluation metrics.",,,,
TaintScope: A Checksum-Aware Directed Fuzzing Tool for Automatic Software Vulnerability Detection,0,2010,taintscope_2010_dynamic,Ezz,574,36.63050415,IEEE Symposium on Security and Privacy,https://ieeexplore.ieee.org/document/5504701,10.1109/SP.2010.37,binary_executable,,executable,,,NA,,exploit,,,0,specific,"buffer_overflow, integer_overflow, double_free, null_pointer_dereference, infinite_loop",create_own_from_scratch,NA,,real-world,any (binary),,,,,,,0,0,dynamic,"fuzzing, taint_analysis",,,,num_detected,,,,"{""null"":{""null"":0}}",,0,NA,"The paper proposes a novel fuzzing technique that works on X86 executables. The main contribution is that Taintscope can automatically detect fields that require checksums and hence avoid early rejection of fuzz input. It does that byaltering the program's execution trace to act as if the input was not not malformed. It also identifies which bytes are used in security sensitive oprations (e.g., malloc, strcpy) and focus on manipulating  variables affecting those operations. Taintscope was evaluated and was able to find new vulnerabilities in multiple open-source projects, and got several CVE IDs assigned.",,,,
Toward Large-Scale Vulnerability Discovery using Machine Learning,0,2016,grieco2016toward_static_dynamic,Ezz,335,34.64322647,ACM Conference on Data and Application Security and Privacy,https://dl.acm.org/doi/abs/10.1145/2857705.2857720,10.1145/2857705.2857720,binary_code,executable,executable,unexplored,,"manual_features, pretrained_token_embedding",,binary,,,1,memory,memory,create_own_from_scratch,VDiscovery,,real-world,"any (binary, C/C++)",,,,,,,1,0,both,"fuzzing, ML_preNN, MLP",,,,"test_error, FPR, FNR, Recall, Precision",,,,"{""null"":{""Recall"":55, ""Precision"": 76.4}}",,0,1,"The paper proposes a tool VDiscover, whih combines static nd dynamic analysis to detect vulnerabilities in OS binaries. Focusing only on memory corruption vulnerabilities, the tool first collect static features from Debian bug tracker, as well as dynamic features collected from execution traces collected by a simple fuzzer. The static features are a list of sequence class to standard C library, and the dynamic features are a list of events happening, either C calls or exit/crash/abort/timeout. These features were encoded either with word2vec or with bag-of-word. These features were then fed into a machine learning classifier. They tested a logistic regression, a MLP, and a random forest classifier. Since VDiscover uses only binary, it can be applied to any programming languages, and it works on the project-level. ",,,,
Towards a Deep Learning Model for Vulnerability Detection on Web Application Variants,1,2020,fidalgo2020towards_web,Sanyam,39,6.878306878,"IEEE International Conference on Software Testing, Verification and Validation Workshops",https://ieeexplore.ieee.org/document/9155596,10.1109/ICSTW50294.2020.00083,source_code,gadget/slice,slice/gadget,,,pretrained_token_embedding,,binary,,1,0,SQLI,SQLI,subset_existing,SARD,,real-world,PHP,0,0,0,1,0,,1,0,both,"NLP, RNN",LSTM,"In classification tasks like the one we aim to solve, it is common to measure how good the model is at generalizing, based on the rate of correctly classified examples 
",1,"Acc, Precision, Recall",,0,1,"{""null"": {""acc"": 0.9535, ""Precision"": 0.9651, ""Recall"": 0.9614}}",,1,1,,,,,
Towards Causal Deep Learning for Vulnerability Detection,1,2024,rahman2024causal,Ezz,29,17.36526946,International Conference on Software Engineering,,,source_code,function,function,,None,pretrained_token_embedding,,binary,,0,0,general,general,benchmark,"Big-Vul, CodeXGLUE",they are real-world samples,real-world,C/C++,0,0,0,1,0,None,1,1,static,PretrainedLLM,PretrainedLLM,,1,F1,imbalanced data,1,1,"{""codexglue"":{""f1"":68}, ""devign"":{""f1"":68}, ""big-vul"":{""f1"":41}}",https://figshare.com/s/0ffda320dcb96c249ef2?file=41801019,1,NA,"The paper focuses on out-of-distribution (OOD) data an proposes CausalVul, a method that incorporates causality in AVD. The method uses do-calculus technique to identify nd remove features with spurious correlations. First, they design a perturbation method based on adversarial robustness research, but they just hypothesized that the models would use variable names and API names, so that is how they designed the perturbations. Second they used causal learning and the backdoor criterion to remove the effect of spurious features. They also show that their solution is more generalizable to unsen data and is more robust to adversarially created code samples (i.e., with different variable names).They apply this method to different encoder based LMs, by using their first 4 layers and then using the resulting vectors as an input to a MLP.",,,,
Towards effectively detecting and explaining vulnerabilities using large language models,0,2024,khare2025understanding,Ezz,10,5.988023952,arxiv,,,source_code,"function, slice/gadget","function, slice/gadget",,,pretrained_token_embedding,,"binary, multi-class",,,1,general,general,benchmark,"SySeVR, DiverseVul","the authenticity of the vulnerability code, the diversity of vulnerability types, and the sufficiency of examples of each type are particularly important",both,C/C++,,,,,,None,1,1,static,FinetuneLLM,FinetuneLLM,,,"Precision, Recall, F1",None,,,"{""SySeVR"":{""precision"": 92.7, ""recall"": 92.3, ""f1"": 92.4}, ""DiverseVul"":{""precision"": 74.4, ""recall"": 75.2, ""f1"": 74.8}}",,0,0,"They start with CodeLlama or Llama3 as a starting point, and fine-tune them (using LoRA) on a specialized dataset for vulnerbaility detection and explanations. The annotations for the explanations came from GPT-3.5. The considered binary, multi-class, and multi-label classification. They also propose metrics for evaluating the explanations using LLMs, by asking LLMs to evaluate explanation based on accuracy, clarity, and actionability.",,,,
